url,Données de base,Équipement,Certificats et attestations de conformité,Urbanisme et risques environnementaux,Aménagement intérieur,Cuisine et sanitaires,Description extérieure,Chauffage et énergie
https://immovlan.be/fr/detail/maison/a-vendre/8820/torhout/rbt68819,Non,Non,,Non,3,,Nord-est,
https://immovlan.be/fr/detail/maison/a-vendre/1500/hal/rbt68796,Non,,41 kWh/m²/an,,,Equipée,Sud-ouest,Oui
https://immovlan.be/fr/detail/immeuble-de-rapport/a-vendre/9690/kluisbergen/rbt68554,Excellent,,,,3,Equipée,,Mazout
https://immovlan.be/fr/detail/appartement/a-vendre/9140/temse/rbt68509,Excellent,,38 kWh/m²/an,Oui,,,1,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/8800/roeselare/rbt68503,Nouveau,,"non, pas d'attestation","Zone d'habitat (résidentiel, urbain ou rural)",,1,,
https://immovlan.be/fr/detail/maison/a-vendre/7750/mont-de-l-enclus/rbt68680,Normal,,268 kWh/m²/an,Non,,,4,Gaz
https://immovlan.be/fr/detail/appartement/a-vendre/4420/saint-nicolas/vbc88999,Normal,,721 kWh/m²/an,,3,,,
https://immovlan.be/fr/detail/maison/a-vendre/9860/oosterzele/rbt68590,Normal,,119 kWh/m²/an,,4,1,3,
https://immovlan.be/fr/detail/surface-industrielle/a-vendre/8600/dixmude/rbt68561,Normal,Oui,400 kWh/m²/an,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,
https://immovlan.be/fr/detail/duplex/a-vendre/7100/la-louviere/vbc88944,Excellent,,134 kWh/m²/an,Information non communiquée,,Super équipée,,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/4000/liege/vbc88904,À rénover,,,,2,,Oui,Gaz
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/8800/roeselare/rbt68306,Non,,,Non,,,0,Electrique
https://immovlan.be/fr/detail/maison/a-vendre/6560/erquelinnes/vbc88870,Non,,,,2,1,3,Non specifié
https://immovlan.be/fr/detail/maison/a-vendre/8800/roeselare/rbt68236,Non,,701 kWh/m²/an,,,,,
https://immovlan.be/fr/detail/maison-de-maitre/a-vendre/7890/ellezelles/rbt68420,À rénover,,399 kWh/m²/an,,5,Equipée,4,
https://immovlan.be/fr/detail/villa/a-vendre/6010/couillet/vbc88786,Excellent,,235 kWh/m²/an,,3,Equipée,,
https://immovlan.be/fr/detail/villa/a-vendre/5590/ciney/vbc88779,À rénover,,759 kWh/m²/an,Non,,,,Mazout
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/1200/woluwe-saint-lambert/vbc88713,Normal,,147 kWh/m²/an,Pas de risque d’inondation,,Super équipée,,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/5377/somme-leuze/vbc88699,Excellent,Oui,132 kWh/m²/an,Pas de risque d’inondation,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8430/middelkerke/rbt68093,Nouveau,Oui,82 kWh/m²/an,,,,5,Gaz
https://immovlan.be/fr/detail/terrain/a-vendre/5650/yves-gomezee/vbc88572,A l’acte,,,,,,755 m²,
https://immovlan.be/fr/detail/maison/a-vendre/4020/liege/vbc88551,À rénover,Non,,,4,1,,
https://immovlan.be/fr/detail/bien-divers/a-vendre/4102/ougree/vbc88537,À rénover,Non,500 kWh/m²/an,Non,2,2,,
https://immovlan.be/fr/detail/appartement/a-vendre/1180/uccle/vbc88512,Excellent,Oui,,,1,1,1,Gaz
https://immovlan.be/fr/detail/immeuble-de-rapport/a-vendre/1180/uccle/vbc88509,Normal,Oui,,Oui,6,10 m²,2,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/7500/tournai/vbc88499,À rénover,Non,517 kWh/m²/an,Pas de risque d’inondation,,,,Gaz
https://immovlan.be/fr/detail/appartement/a-vendre/1350/orp-le-grand/vbc88488,Excellent,Oui,109 kWh/m²/an,,2,Super équipée,3,
